fator_1,fator_2,fator_3,fator_4,fator_5,Produto_1_service,Produto_2_service,cost_total,cost_machine,cost_rent,cost_stock,cost_rupture,cost_op
3,1,3,1,2,51.6,53.54,329851.63,190000.0,10000.0,4091.63,125760.0,139851.63
2,1,2,2,3,42.78,49.75,310509.62,150000.0,10000.0,6599.62,143910.0,160509.62
1,2,3,1,2,35.87,36.05,337995.79,160000.0,10000.0,3455.79,164540.0,177995.79
2,1,3,1,3,37.22,33.24,341099.79,160000.0,10000.0,3879.79,167220.0,181099.79
4,1,1,1,1,32.57,30.85,389639.06,200000.0,10000.0,3689.06,175950.0,189639.06
2,1,1,2,3,32.36,35.65,331041.31,140000.0,10000.0,7001.31,174040.0,191041.31
3,1,2,2,3,32.35,35.12,371146.04,180000.0,10000.0,6056.04,175090.0,191146.04
2,1,1,1,3,32.71,28.84,331513.65,140000.0,10000.0,4153.65,177360.0,191513.65
1,2,1,2,3,32.34,34.22,332676.2,140000.0,10000.0,6776.2,175900.0,192676.2
1,3,1,1,3,32.35,28.89,393340.54,200000.0,10000.0,4130.54,179210.0,193340.54
3,1,1,2,3,27.72,34.77,370077.13,170000.0,10000.0,6767.13,183310.0,200077.13
1,2,1,1,3,27.75,29.49,340231.51,140000.0,10000.0,4121.51,186110.0,200231.51
1,2,2,2,3,27.55,34.41,351144.9,150000.0,10000.0,6214.9,184930.0,201144.9
2,1,2,1,3,27.49,29.52,351531.25,150000.0,10000.0,4111.25,187420.0,201531.25
4,1,1,2,3,27.37,35.31,401639.12,200000.0,10000.0,6799.12,184840.0,201639.12
4,1,1,1,3,27.58,28.29,401674.22,200000.0,10000.0,3844.22,187830.0,201674.22
2,2,1,2,3,27.55,33.8,401914.12,200000.0,10000.0,6684.12,185230.0,201914.12
3,1,2,1,3,27.48,28.27,382560.8,180000.0,10000.0,3870.8,188690.0,202560.8
2,2,1,1,3,27.36,28.42,403069.67,200000.0,10000.0,3949.67,189120.0,203069.67
2,1,3,1,2,28.37,24.21,363767.65,160000.0,10000.0,4007.65,189760.0,203767.65
3,1,1,1,3,27.4,28.26,373783.32,170000.0,10000.0,3953.32,189830.0,203783.32
1,2,3,1,3,22.51,32.89,369511.32,160000.0,10000.0,4051.32,195460.0,209511.32
1,2,2,1,3,22.64,28.7,360899.03,150000.0,10000.0,3919.03,196980.0,210899.03
1,3,1,2,3,22.51,34.34,411205.58,200000.0,10000.0,6465.58,194740.0,211205.58
3,1,3,1,3,22.24,33.11,401414.2,190000.0,10000.0,3834.2,197580.0,211414.2
3,1,2,1,2,24.61,24.44,392554.15,180000.0,10000.0,4014.15,198540.0,212554.15
1,3,1,1,2,24.86,21.04,412996.73,200000.0,10000.0,3726.73,199270.0,212996.73
1,2,1,1,1,22.26,23.69,355093.65,140000.0,10000.0,3213.65,201880.0,215093.65
2,1,2,1,2,21.5,25.32,367987.86,150000.0,10000.0,4017.86,203970.0,217987.86
1,2,2,1,2,21.61,21.2,368171.49,150000.0,10000.0,3691.49,204480.0,218171.49
2,1,1,1,2,21.71,20.87,358446.62,140000.0,10000.0,3676.62,204770.0,218446.62
2,2,1,1,2,21.63,20.66,419590.19,200000.0,10000.0,3850.19,205740.0,219590.19
4,1,1,1,2,20.44,18.93,421651.52,200000.0,10000.0,4241.52,207410.0,221651.52
1,2,1,1,2,18.63,21.17,361959.13,140000.0,10000.0,3709.13,208250.0,221959.13
3,1,1,1,2,18.17,21.04,395781.59,170000.0,10000.0,3801.59,211980.0,225781.59
